timestamp_heure,etat,p_it_kw,source
2024-01-01 00:00:00,idle,1.58,simulation
2024-01-01 01:00:00,idle,2.88,simulation
2024-01-01 02:00:00,idle,2.06,simulation
2024-01-01 03:00:00,training,44.76,simulation
2024-01-01 04:00:00,training,48.85,simulation
2024-01-01 05:00:00,training,47.52,simulation
2024-01-01 06:00:00,training,48.34,simulation
2024-01-01 07:00:00,training,45.81,simulation
2024-01-01 08:00:00,training,48.33,simulation
2024-01-01 09:00:00,training,50.75,simulation
2024-01-01 10:00:00,training,44.84,simulation
2024-01-01 11:00:00,training,50.79,simulation
2024-01-01 12:00:00,training,43.34,simulation
2024-01-01 13:00:00,training,48.83,simulation
2024-01-01 14:00:00,inference,24.64,simulation
2024-01-01 15:00:00,inference,28.47,simulation
2024-01-01 16:00:00,inference,22.81,simulation
2024-01-01 17:00:00,inference,29.09,simulation
2024-01-01 18:00:00,inference,23.58,simulation
2024-01-01 19:00:00,inference,17.97,simulation
2024-01-01 20:00:00,inference,18.15,simulation
2024-01-01 21:00:00,inference,21.73,simulation
2024-01-01 22:00:00,inference,10.47,simulation
2024-01-01 23:00:00,inference,13.25,simulation
2024-01-02 00:00:00,inference,16.41,simulation
2024-01-02 01:00:00,training,46.94,simulation
2024-01-02 02:00:00,training,45.44,simulation
2024-01-02 03:00:00,training,48.79,simulation
2024-01-02 04:00:00,training,50.8,simulation
2024-01-02 05:00:00,training,48.01,simulation
2024-01-02 06:00:00,training,48.37,simulation
2024-01-02 07:00:00,training,48.87,simulation
2024-01-02 08:00:00,training,47.24,simulation
2024-01-02 09:00:00,training,46.25,simulation
2024-01-02 10:00:00,inference,25.2,simulation
2024-01-02 11:00:00,inference,27.62,simulation
2024-01-02 12:00:00,inference,30.61,simulation
2024-01-02 13:00:00,inference,20.64,simulation
2024-01-02 14:00:00,inference,26.67,simulation
2024-01-02 15:00:00,inference,23.97,simulation
2024-01-02 16:00:00,inference,29.06,simulation
2024-01-02 17:00:00,inference,21.09,simulation
2024-01-02 18:00:00,inference,22.38,simulation
2024-01-02 19:00:00,inference,24.59,simulation
2024-01-02 20:00:00,inference,17.43,simulation
